Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13228,277788,3/19/2019,12:46:00,Credit card,264.56,4.761904762,13228,5.6
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2187,45927,1/25/2019,14:29:00,Ewallet,43.74,4.761904762,2187,6.9
569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01,4,4402,92442,1/29/2019,18:15:00,Credit card,88.04,4.761904762,4402,6.6
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,01/08/19,20:55:00,Cash,746,4.761904762,37.3,9.5
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,03/12/19,16:46:00,Credit card,39.01,4.761904762,1.9505,4.7
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,3/28/2019,13:41:00,Ewallet,91.11,4.761904762,4.5555,5.1
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1595,33495,01/05/19,12:40:00,Ewallet,31.9,4.761904762,1595,9.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41315,867615,3/19/2019,17:08:00,Ewallet,826.3,4.761904762,41315,7.9
574-31-8277,B,Mandalay,Member,Male,Fashion accessories,33.63,1,1.6815,35.3115,3/20/2019,19:55:00,Cash,33.63,4.761904762,1.6815,5.6
574-57-9721,C,Naypyitaw,Normal,Male,Food and beverages,43.27,2,4327,90867,03/08/19,16:53:00,Ewallet,86.54,4.761904762,4327,5.7
574-80-1489,B,Mandalay,Member,Female,Food and beverages,62.85,4,12.57,263.97,2/25/2019,13:22:00,Ewallet,251.4,4.761904762,12.57,8.7
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25:00,Ewallet,580,4.761904762,29,9.2
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,1/29/2019,11:26:00,Ewallet,38.6,4.761904762,1.93,6.7
576-31-4774,B,Mandalay,Normal,Female,Health and beauty,73.41,3,11.0115,231.2415,03/02/19,13:10:00,Ewallet,220.23,4.761904762,11.0115,4
577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,01/10/19,17:16:00,Cash,454.41,4.761904762,22.7205,5.4
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,78.7185,3/16/2019,16:58:00,Cash,74.97,4.761904762,3.7485,5.6
582-52-8065,B,Mandalay,Normal,Female,Fashion accessories,54.31,9,24.4395,513.2295,2/22/2019,10:49:00,Cash,488.79,4.761904762,24.4395,8.9
583-41-4548,C,Naypyitaw,Normal,Male,Home and lifestyle,16.67,7,5.8345,122.5245,02/07/19,11:36:00,Ewallet,116.69,4.761904762,5.8345,7.4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7412,155652,1/31/2019,16:24:00,Ewallet,148.24,4.761904762,7412,9.7
584-66-4073,C,Naypyitaw,Normal,Male,Fashion accessories,56.5,1,2825,59325,3/13/2019,15:45:00,Ewallet,56.5,4.761904762,2825,9.6
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12096,254016,03/11/19,16:07:00,Credit card,241.92,4.761904762,12096,7.3
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9055,190155,3/13/2019,11:46:00,Ewallet,181.1,4.761904762,9055,5.9
585-11-6748,B,Mandalay,Member,Male,Sports and travel,96.8,3,14.52,304.92,3/15/2019,13:05:00,Cash,290.4,4.761904762,14.52,5.3
585-86-8361,A,Yangon,Normal,Female,Food and beverages,27.28,5,6.82,143.22,02/03/19,10:31:00,Credit card,136.4,4.761904762,6.82,8.6
585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26,1,3663,76923,1/27/2019,18:08:00,Ewallet,73.26,4.761904762,3663,9.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4319,90699,03/04/19,11:19:00,Credit card,86.38,4.761904762,4319,6.7
587-03-7455,C,Naypyitaw,Member,Female,Fashion accessories,97.79,7,34.2265,718.7565,2/16/2019,17:30:00,Ewallet,684.53,4.761904762,34.2265,4.9
587-73-4862,A,Yangon,Member,Female,Health and beauty,10.69,5,2.6725,56.1225,3/26/2019,11:07:00,Ewallet,53.45,4.761904762,2.6725,7.6
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15291,321111,3/24/2019,10:43:00,Cash,305.82,4.761904762,15291,4.2
588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,1/14/2019,19:30:00,Ewallet,560.4,4.761904762,28.02,4.4
589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77,2,8377,175917,1/15/2019,10:54:00,Credit card,167.54,4.761904762,8377,7
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26235,550935,2/17/2019,14:40:00,Credit card,524.7,4.761904762,26235,8.8
592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77,4,6354,133434,1/14/2019,14:43:00,Ewallet,127.08,4.761904762,6354,6.2
592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,01/11/19,20:10:00,Cash,257.39,4.761904762,12.8695,7.4
593-08-5916,A,Yangon,Normal,Female,Fashion accessories,15.5,1,775,16275,3/19/2019,15:23:00,Credit card,15.5,4.761904762,775,7.4
593-14-4239,B,Mandalay,Normal,Female,Home and lifestyle,95.46,8,38184,801864,03/05/19,19:40:00,Ewallet,763.68,4.761904762,38184,4.7
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13962,293202,1/28/2019,20:50:00,Credit card,279.24,4.761904762,13962,5.9
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3743,78603,3/24/2019,14:49:00,Cash,74.86,4.761904762,3743,6.9
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4858,102018,03/08/19,20:38:00,Ewallet,97.16,4.761904762,4858,7.2
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9658,202818,3/15/2019,10:12:00,Credit card,193.16,4.761904762,9658,5.1
595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28,7,18998,398958,1/27/2019,18:05:00,Ewallet,379.96,4.761904762,18998,9.3
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,96.98,4,19396,407316,02/06/19,17:20:00,Ewallet,387.92,4.761904762,19396,9.4
595-94-9924,A,Yangon,Member,Female,Health and beauty,27.73,5,6.9325,145.5825,3/26/2019,20:21:00,Credit card,138.65,4.761904762,6.9325,4.2
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22,7,6377,133917,03/10/19,14:04:00,Credit card,127.54,4.761904762,6377,6.6
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13533,284193,2/18/2019,19:39:00,Cash,270.66,4.761904762,13533,6.2
598-06-7312,B,Mandalay,Member,Male,Fashion accessories,91.35,1,4.5675,95.9175,2/16/2019,15:42:00,Cash,91.35,4.761904762,4.5675,6.8
598-47-9715,C,Naypyitaw,Normal,Male,Electronic accessories,84.07,4,16814,353094,03/07/19,16:54:00,Ewallet,336.28,4.761904762,16814,4.4
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,377.58,1/17/2019,15:05:00,Credit card,359.6,4.761904762,17.98,4.3
602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6,10,38.3,804.3,1/24/2019,18:10:00,Ewallet,766,4.761904762,38.3,6
602-80-9671,C,Naypyitaw,Member,Female,Home and lifestyle,15.95,6,4785,100485,02/09/19,17:15:00,Credit card,95.7,4.761904762,4785,5.1
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,01/10/19,11:34:00,Cash,373.95,4.761904762,18.6975,4.9
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4485,94185,1/23/2019,14:04:00,Ewallet,89.7,4.761904762,4485,6.8
605-03-2706,A,Yangon,Normal,Female,Health and beauty,15.8,3,2.37,49.77,3/25/2019,18:02:00,Cash,47.4,4.761904762,2.37,9.5
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37788,793548,2/27/2019,15:12:00,Cash,755.76,4.761904762,37788,9.1
605-83-1050,B,Mandalay,Normal,Male,Fashion accessories,27.18,2,2718,57078,3/15/2019,16:26:00,Ewallet,54.36,4.761904762,2718,4.3
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5745,120645,1/29/2019,10:01:00,Credit card,114.9,4.761904762,5745,6.8
607-65-2441,C,Naypyitaw,Member,Male,Health and beauty,81.95,10,40975,860475,03/10/19,12:39:00,Credit card,819.5,4.761904762,40975,6
607-76-6216,C,Naypyitaw,Member,Female,Fashion accessories,92.49,5,23.1225,485.5725,03/02/19,16:35:00,Credit card,462.45,4.761904762,23.1225,8.6
608-04-3797,B,Mandalay,Member,Female,Health and beauty,25.32,8,10128,212688,03/05/19,20:24:00,Ewallet,202.56,4.761904762,10128,8.7
608-05-3804,B,Mandalay,Member,Male,Electronic accessories,39.75,1,1.9875,41.7375,2/25/2019,20:19:00,Cash,39.75,4.761904762,1.9875,6.1
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15867,333207,1/19/2019,17:34:00,Credit card,317.34,4.761904762,15867,9.8
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18308,384468,3/23/2019,19:20:00,Credit card,366.16,4.761904762,18308,4.8
609-81-8548,A,Yangon,Member,Female,Home and lifestyle,37.44,6,11232,235872,02/06/19,13:55:00,Credit card,224.64,4.761904762,11232,5.9
610-46-4100,A,Yangon,Normal,Male,Health and beauty,28.95,7,10.1325,212.7825,03/03/19,20:31:00,Credit card,202.65,4.761904762,10.1325,6
612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96,8,32384,680064,2/17/2019,11:12:00,Credit card,647.68,4.761904762,32384,7.4
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,1/27/2019,14:28:00,Cash,143.6,4.761904762,7.18,5.4
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3574,75054,3/22/2019,14:42:00,Ewallet,71.48,4.761904762,3574,6.5
616-87-0016,B,Mandalay,Normal,Male,Fashion accessories,95.54,7,33439,702219,03/09/19,14:36:00,Credit card,668.78,4.761904762,33439,9.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1537,32277,3/16/2019,19:47:00,Cash,30.74,4.761904762,1537,7.2
618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2,9318,195678,1/16/2019,18:41:00,Credit card,186.36,4.761904762,9318,8.5
620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4,2,6.94,145.74,1/27/2019,19:48:00,Ewallet,138.8,4.761904762,6.94,9
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1971,41391,1/18/2019,15:08:00,Cash,39.42,4.761904762,1971,8.4
624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01,10,24505,514605,1/27/2019,10:44:00,Credit card,490.1,4.761904762,24505,4.2
626-43-7888,C,Naypyitaw,Normal,Female,Fashion accessories,60.41,8,24164,507444,02/07/19,12:23:00,Ewallet,483.28,4.761904762,24164,9.6
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68,9,34956,734076,02/04/19,13:21:00,Ewallet,699.12,4.761904762,34956,9.8
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8214,172494,01/05/19,20:54:00,Credit card,164.28,4.761904762,8214,7.9
628-90-8624,B,Mandalay,Member,Male,Health and beauty,82.58,10,41.29,867.09,3/14/2019,14:41:00,Cash,825.8,4.761904762,41.29,5
629-42-4133,C,Naypyitaw,Normal,Male,Health and beauty,21.8,8,8.72,183.12,2/19/2019,19:24:00,Cash,174.4,4.761904762,8.72,8.3
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18639,391419,3/22/2019,20:19:00,Cash,372.78,4.761904762,18639,7.4
631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,01/08/19,19:09:00,Credit card,72.93,4.761904762,3.6465,4.3
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/19,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4
632-32-4574,B,Mandalay,Normal,Male,Sports and travel,75.92,8,30368,637728,3/20/2019,14:14:00,Cash,607.36,4.761904762,30368,5.5
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18775,394275,03/08/19,20:01:00,Credit card,375.5,4.761904762,18775,9.3
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,150.0975,3/28/2019,12:58:00,Credit card,142.95,4.761904762,7.1475,9.5
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17283,362943,3/27/2019,20:35:00,Credit card,345.66,4.761904762,17283,7.3
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1203,25263,1/27/2019,15:51:00,Cash,24.06,4.761904762,1203,5.1
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3,4935,103635,2/17/2019,17:27:00,Credit card,98.7,4.761904762,4935,9.1
635-28-5728,A,Yangon,Normal,Male,Health and beauty,56,3,8.4,176.4,2/28/2019,19:33:00,Ewallet,168,4.761904762,8.4,4.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,02/07/19,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6
636-17-0325,B,Mandalay,Normal,Male,Health and beauty,62.57,4,12514,262794,2/25/2019,18:37:00,Cash,250.28,4.761904762,12514,9.5
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9
636-98-3364,B,Mandalay,Member,Female,Electronic accessories,26.26,3,3939,82719,03/02/19,12:36:00,Ewallet,78.78,4.761904762,3939,6.3
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39824,836304,2/14/2019,17:03:00,Credit card,796.48,4.761904762,39824,5.2
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52,5,10.13,212.73,02/03/19,15:19:00,Cash,202.6,4.761904762,10.13,4.5
640-48-5028,B,Mandalay,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,03/02/19,12:40:00,Cash,795.51,4.761904762,39.7755,6.3
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33512,703752,01/10/19,14:49:00,Cash,670.24,4.761904762,33512,5.1
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23:00,Ewallet,102.2,4.761904762,5.11,5.7
641-51-2661,C,Naypyitaw,Member,Female,Food and beverages,87.1,10,43.55,914.55,02/12/19,14:45:00,Credit card,871,4.761904762,43.55,9.9
641-62-7288,B,Mandalay,Normal,Male,Home and lifestyle,99.92,6,29976,629496,3/24/2019,13:33:00,Ewallet,599.52,4.761904762,29976,7.1
641-96-3695,C,Naypyitaw,Member,Female,Fashion accessories,43.46,6,13038,273798,02/07/19,17:55:00,Ewallet,260.76,4.761904762,13038,8.5
642-30-6693,B,Mandalay,Normal,Female,Sports and travel,54.51,6,16353,343413,3/17/2019,13:54:00,Ewallet,327.06,4.761904762,16353,7.8
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02/02/19,20:48:00,Ewallet,109.6,4.761904762,5.48,6
642-61-4706,B,Mandalay,Member,Male,Food and beverages,93.4,2,9.34,196.14,3/30/2019,16:34:00,Cash,186.8,4.761904762,9.34,5.5
643-38-7867,A,Yangon,Normal,Male,Home and lifestyle,97.94,1,4897,102837,03/07/19,11:44:00,Ewallet,97.94,4.761904762,4897,6.9
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9314,195594,1/20/2019,18:09:00,Ewallet,186.28,4.761904762,9314,4.1
