Conteúdo da Mensagem; Minuta de Resposta;Assunto/Encaminhamento
Manual de Redação Oficial, ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Esclarecemos que o Manual de Redação da Presidência da República não tem a função de normatizar. Trata-se de uma ferramenta teórico-referencial, que permite maior clareza e padronização na produção dos atos de comunicação oficial.

Já o decreto n. 9.758, de 11 de abril de 2019, que dispõe sobre a forma de tratamento e de endereçamento nas comunicações com agentes públicos da administração pública federal encontra-se vigente e deve ser observado/seguido pela administração pública.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Decreto N. 9.758
Solicitação do Manual de Redação impresso;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União. Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não realizamos a distribuição do Manual de Redação da Presidência da República impresso e a versão on line (.pdf) está disponível para utilização ou impressão, no seguinte endereço: http://www4.planalto.gov.br/centrodeestudos/assuntos/manual-de-redacao-da-presidencia-da-republica

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Manual de Redação
Solicitação  de material impresso;"
Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União. Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência realizar a distribuição dos materiais impressos solicitados. Informamos, ainda, que a Editora do Senado Federal comercializa a publicação impressa da Constituição e de outros Códigos a preço de custo pela sua livraria. Caso tenha interesse, visite o site:  https://livraria.senado.leg.br/

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Impressos
Sistema PUSH cadastramento;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União. Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Para acompanhar a disponibilização dos novos atos normativos federais no Portal da Legislação basta cadastrar seu endereço de e-mail no Sistema PUSH - http://www.saj.planalto.gov.br/saj/Boletins.nsf/frmInscricaoWeb?OpenForm -, que encaminha automaticamente uma mensagem com os atos normativos disponibilizados no dia. Após realizar seu cadastro, você receberá uma mensagem do sistema para a confirmação de sua conta de e-mail. Caso não realize a confirmação, o Sistema PUSH não encaminhará as atualizações normativas.

Alertamos que uma parte significativa dos casos de não recebimento da mensagem encaminhada pelo Sistema PUSH decorre de configurações anti-spam da caixa de entrada do e-mail dos usuários. Caso não esteja recebendo, verifique sua caixa de spam e cadastre o e-mail sistema.push@saj.planalto.gov.br na lista de recebimento seguro da sua caixa de entrada.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Sistema Push
Sistema PUSH, erro no cadastramento, orientações.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Informamos que após o recebimento de sua mensagem realizamos teste de cadastramento no Push e verificamos que o sistema encontra-se funcionando. Pedimos realizar nova tentativa de cadastramento observando as seguintes orientações:

1. Para acompanhar novos atos normativos federais disponibilizados no Portal basta cadastrar seu endereço de e-mail no Sistema PUSH - http://www.saj.planalto.gov.br/saj/Boletins.nsf/frmInscricaoWeb?OpenForm -, que encaminha automaticamente uma mensagem com os atos normativos disponibilizados no dia.

2. Ao se cadastrar, você receberá uma mensagem do sistema para a confirmação de sua conta de e-mail. Caso não realize a confirmação, o Sistema PUSH não encaminhará as atualizações normativas.

3. Alertamos que uma parte significativa dos casos de não recebimento da mensagem encaminhada pelo Sistema PUSH decorre da configurações anti-spam da caixa de entrada do e-mail dos usuários. Caso não esteja recebendo, verifique sua caixa de spam e cadastre o e-mail sistema.push@saj.planalto.gov.br na lista de recebimento seguro da sua caixa de entrada.

4. Pedimos que durante a nova tentativa de cadastramento seja confirmando o recebimento da mensagem de e-mail, inclusive com verificação na caixa de spam.

5. Caso, durante o processo de cadastramento, retorne alguma mensagem de erro do sistema, solicitamos fazer um print da tela e nos encaminhar para verificação.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,


Atenciosamente,

";Sistema Push
Atualização e correção de texto legislativo;"Prezado(a),

Informamos que o texto já foi atualizado conforme sugerido e lembramos que é necessário pressionar a tecla F5 em seu teclado para verificar o texto com as alterações efetuadas.

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência e por sua colaboração na melhoria de nossos serviços.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação
Solicitação de textos de projetos de lei;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que você pode encontrar informações sobre projetos de lei acessando a área de pesquisa do Portal da Câmara dos Deputados - https://www.camara.leg.br/busca-portal/proposicoes/pesquisa-simplificada

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Câmara dos Deputados
Censo, IBGE;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Instituto Brasileiro de Geografia e Estatística  IBGE por meio do endereço:  https://www.ibge.gov.br/atendimento.html

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";IBGE
Reclamação sobre bancos e financeiras , Banco Central.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Banco Central do Brasil por meio do endereço:  https://www.bcb.gov.br/meubc/faleconosco

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Banco Central
Dúvida sobre normas, pedido de assessoria jurídica, interpretação de leis e decretos. OAB, Advogados, Defensoria Pública ou Ministério Público;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência interpretar atos normativos ou prestar qualquer tipo de assessoria jurídica. Sugerimos que consulte um advogado especialista ou a Defensoria Pública ou o Ministério Público da sua região, conforme o caso, para obter o devido auxílio jurídico.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Assessoria Jurídica
CPF, Imposto de Renda, e-cac,  aduana, evasão de divisas, CNPj, IPI, Simples. Receita Federal;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Receita Federal do Brasil por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f ou pelo canal institucional Fale Conosco  - https://www.gov.br/receitafederal/pt-br/canais_atendimento/fale-conosco/cidadao ou https://www.gov.br/receitafederal/pt-br/canais_atendimento/fale-conosco/empresa/cnpj

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Receita Federal
Carteira de pesca, fiscalização pesca, aquicultura, criação de peixes. Ministério da Pesca e Aquicultura;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Pesca e Aquicultura por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério da Pesca
Emissão e renovação de passaporte, imigração, ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Policia Federal por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Polícia Federal
FIES, Enem, Prouni, INEP, ENCCEJA, CAPES, FNDE, AVAMEC, Encceja, Educação básica, educação superior, educação profissional e tecnologica. ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Educação por meio do linK: https://www.gov.br/mec/pt-br/canais_atendimento/fale-conosco

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Ministério da Educação
INSS e Ministério da Previdência Social. Aposentadoria, Pis, Pasep, afastamento, ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Previdência Social por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério da Previdência
Mulheres, igualdade de gênero, misoginia,  feminicídio.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério das Mulheres por meio dos canais disponíveis no link: https://www.gov.br/mulheres/pt-br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério das Mulheres
Infraestrutura rodoviária, rodovias federais, trsnportes.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Ouvidoria do Departamento Nacional de Infraestrutura de Transportes (DNIT) por meio dos canais disponíveis no link: https://www.gov.br/dnit/pt-br/composicao/orgaos-vinculados/ouvidoria

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";DNIT
Manual de Redação, despacho, memorando, aviso atualização, padrão oficio.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Informamos que o Manual de Redação da Presidência da República não utiliza a terminologia despacho e orienta  que seja utilizado o padrão oficio, como destacado abaixo:

Até a segunda edição deste Manual, havia três tipos de expedientes que se diferenciavam antes pela finalidade do que pela forma: o ofício, o aviso e o memorando. Com o objetivo de uniformizá-los, deve-se adotar nomenclatura e diagramação únicas, que sigam o que chamamos de padrão ofício. A distinção básica anterior entre os três era: a) aviso: era expedido exclusivamente por Ministros de Estado, para autoridades de mesma hierarquia; b) ofício: era expedido para e pelas demais autoridades; e c) memorando: era expedido entre unidades administrativas de um mesmo órgão.  Atenção: Nesta nova edição ficou abolida aquela distinção e passou-se a utilizar o termo ofício nas três hipóteses. (p.27)

Esclarecemos, ainda, que o Manual de Redação da Presidência da República não tem a função de normatizar. Trata-se de uma ferramenta teórico-referencial, que permite maior clareza e padronização na produção dos atos de comunicação oficial.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,


";Manual de Redação
Intercâmbio SAJ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Em atenção ao seu pedido informamos que não há previsão para publicação do próximo edital do Programa de Intercâmbio.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Intercâmbio
Telecomunicações;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Telecomunicações - Anatel por meio do  linK: https://www.gov.br/anatel/pt-br/canais_atendimento

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Anatel
Multas de Trânsito, registro e licenciamento de veículos, emplacamento.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail. Sugerimos entrar em contato com o Departamento de Trânsito - DETRAN de sua unidade federativa.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Detran
Agricultura, Pecuária, registro de alimentos, insumos.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Agricultura e Pecuária por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério da Agricultura e Pecuária
Carteira de Trabalho, Jovem Aprendiz, normas NR, segurança do trabalho, SIRPWEB .;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Trabalho e Emprego por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério do Trabalho e Emprego (MTE)
